SRA_Run_ID	Unique_reads_in_Sample	Unique_hits_in_Blast	Unique_hits_perc_in_Blast	Total_reads_in_Sample	Total_hits_in_Blast	Total_hits_perc_in_Blast	Blast_mapping_cutoff	Unique_reads_in_Sample	Unique_hits_in_Bowtie2	Unique_hits_perc_in_Bowtie2	Total_reads_in_Sample	Total_hits_in_Bowtie2	Total_hits_perc_in_Bowtie2	Bowtie2_mapping_cutoff	Run	RunType	RunSpots	SampleAlias	SampleAccession	StudyAlias	StudyAccession	StudyTitle	StudyAbstract	BioSampleModel	Time point	Treatment	collected_by	collection_date	collection_method	culture_collection	env_broad_scale	env_local_scale	env_medium	genotype	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	host_subject_id	host_tissue_sampled	isol_growth_condt	isolate	isolation_source	lat_lon	num_replicons	passage_history	pathotype	ref_biomaterial	replicate	sample_type	serotype	serovar	specimen_voucher	strain	subgroup	subtype	urine_collect_meth	urogenit_tract_disor
SRR11441029	213968	296	0.1383	219625	302	0.1375	FAIL	213968	280	0.1309	219625	286	0.1302	FAIL	SRR11441029	PAIRED	2197539	Ef_UMB7780	SRS6392394	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	not applicable	-	-	not applicable	not applicable	not applicable	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	-	-	-	29674608	-	-	41.86 N 87.84 W	not applicable	-	-	not appplicable	-	-	-	-	-	UMB7780	-	-	catheter	rUTI
SRR23948648	983813	2929	0.2977	4082829	5126	0.1256	FAIL	983813	2832	0.2879	4082829	4937	0.1209	FAIL	SRR23948648	PAIRED	40892336	11	SRS17122806	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948642	451683	1690	0.3742	2866903	3067	0.1070	FAIL	451683	1643	0.3638	2866903	3004	0.1048	FAIL	SRR23948642	PAIRED	28693897	17	SRS17122812	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	Vancomycin	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	3	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR14552127	193817	178	0.0918	201200	187	0.0929	FAIL	193817	157	0.0810	201200	167	0.0830	FAIL	SRR14552127	PAIRED	2020949	1033	SRS8988340	PRJNA729754	SRP319902	Genomic diversity and ampicillin/ceftriaxone susceptibility of Enterococcus faecalis from infective endocarditis	Enterococcus faecalis is a leading cause of infective endocarditis (IE), especially among older patients with comorbidities. Here we investigated the genomic diversity and antimicrobial susceptibility of 33 contemporary E. faecalis isolates from definite or probable IE cases at the University of Pittsburgh Medical Center (UPMC) between 2018 and 2020. Isolates belonging to two multi-locus sequence types (STs), ST6 and ST179, were isolated from nearly 40% of IE patients. Overall, we found evidence for diminished in vitro AC efficacy among E. faecalis IE isolates with PBP4 mutations. This study highlights the need to evaluate alternate antibiotic combinations in clinical practice against diverse contemporary E. faecalis IE isolates.	Pathogen.cl	-	-	University of Pittsburgh Medical Center	2020	-	-	-	-	-	-	USA: Pittsburgh	Homo sapiens	-	-	Infective Endocarditis	-	-	-	-	-	-	-	DVT_1033	blood	40.4406 N 79.9959 W	-	-	-	-	-	-	-	-	-	E. faecalis	-	-	-	-
SRR23948647	538015	1104	0.2052	3403294	2959	0.0869	FAIL	538015	1065	0.1979	3403294	2871	0.0844	FAIL	SRR23948647	PAIRED	34063189	12	SRS17122808	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	No Treatment	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948561	138967	296	0.2130	576462	338	0.0586	FAIL	138967	286	0.2058	576462	328	0.0569	FAIL	SRR23948561	PAIRED	5774714	10	SRS17122894	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	Vancomycin-PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948641	248023	586	0.2363	1159614	676	0.0583	FAIL	248023	570	0.2298	1159614	657	0.0567	FAIL	SRR23948641	PAIRED	11614850	18	SRS17122814	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	Vancomycin-PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	3	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948645	312205	518	0.1659	1771661	611	0.0345	FAIL	312205	506	0.1621	1771661	598	0.0338	FAIL	SRR23948645	PAIRED	17767248	14	SRS17122810	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	18h	Vancomycin-PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948643	230064	192	0.0835	1630352	204	0.0125	FAIL	230064	185	0.0804	1630352	197	0.0121	FAIL	SRR23948643	PAIRED	16341551	16	SRS17122813	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	18h	No Treatment	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR14289377	348759	11	0.0032	416035	12	0.0029	FAIL	348759	9	0.0026	416035	10	0.0024	FAIL	SRR14289377	PAIRED	4284520	1990_OG1RF_2015refreeze	SRS8742807	PRJNA723360	SRP315608	Illumina re-sequencing of Enterococcus faecalis OG1RF lab stocks and an animal-passaged isolate	Enterococcus faecalis OG1RF was passaged through a rabbit model of infective endocarditis. Illumina whole genome sequencing was performed on the animal-passaged strain as well as two other OG1RF strains from our historic freezer stocks, neither of which were ever animal passaged.	Microbe, viral or environmental	-	-	-	1990	-	-	-	-	-	-	USA: Minneapolis	-	-	-	-	-	-	-	-	-	-	-	2015 refreeze of lab's 1990 stock	missing	-	-	-	-	-	-	bacterial strain	-	-	-	OG1RF	-	-	-	-
SRR13902731	-	-	-	-	-	-	-	824838	0	0.0000	1147426	0	0.0000	FAIL	SRR13902731	PAIRED	11528498	174471	SRS8412315	PRJNA707656	SRP309868	Whole genome sequencing of vancomycin intermediate/resistant/hetero-resistant staphylococci and enterococci	Whole genome sequencing of selected VRSA, VISA, hVISA and VRE isolates collected as a part of ICMR-AMRSN WGS network, India	Pathogen.cl	-	-	Madhan Sugumar, Rajesh Amberpet, Sreeram Chandra Murthy Peela, Meerabai Manoharan, Sujatha Sistla	2019-05-03	-	-	-	-	-	-	India: Puducherry	Homo sapiens	-	-	Urniary tract infection	-	-	-	-	-	-	-	U-18267	urine	11.9416 N 79.8083 E	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR14311754	-	-	-	-	-	-	-	56487	0	0.0000	56492	0	0.0000	FAIL	SRR14311754	PAIRED	564937	0028-ENT_S6	SRS8761454	PRJNA723854	SRP316085	Gambia Neonatal Sepsis Transmission Study	Neonatal sepsis in The Gambia: a genomic analysis of infection transmission pathways	Pathogen.cl	-	-	MRCG	2017	-	-	-	-	-	-	Gambia	Homo sapiens	-	-	diseased	-	-	-	-	0028-ENT_S6	-	-	0028-ENT_S6	blood	13.4432 N 15.3101 W	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR14311755	-	-	-	-	-	-	-	52755	0	0.0000	52763	0	0.0000	FAIL	SRR14311755	PAIRED	527656	0023-17-ENT_S20	SRS8761452	PRJNA723854	SRP316085	Gambia Neonatal Sepsis Transmission Study	Neonatal sepsis in The Gambia: a genomic analysis of infection transmission pathways	Pathogen.cl	-	-	MRCG	2017	-	-	-	-	-	-	Gambia	Homo sapiens	-	-	healthy	-	-	-	-	0023-17-ENT_S20	-	-	0023-17-ENT_S20	rectovaginal swab	13.4432 N 15.3101 W	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR14861606	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR14861606	SINGLE	189000	1207_2014	SRS9211026	PRJNA731638	SRP324128	VanA enterococci	Vancomycin resistant enterococci (VRE) cause difficult to treat nosocomial infections due to limited therapeutic options. Resistance to vancomycin and teicoplanin (VanA phenotype) is usually transferred on mobile genetic elements. The main goal of the project is to characterize the genetic diversity of clinical VanA enterococci in Poland.	Pathogen.cl	-	-	National Medicines Institute	2014	-	-	-	-	-	-	Poland: Ostrow Mazowiecka	Homo sapiens	-	-	asymptomatic carriage	-	-	-	-	-	-	-	-	feces	52.8071 N 21.8796 E	-	-	-	-	-	-	-	-	-	1207/14	-	-	-	-
SRR22824583	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824583	SINGLE	6127	10693850MRS10	SRS16218193	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 180	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824584	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824584	SINGLE	5618	10693850MRS9	SRS16218192	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 179	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824585	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824585	SINGLE	6253	10693850MRS8	SRS16218191	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 178	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824588	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824588	SINGLE	5440	10693850MRS5	SRS16218188	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 175	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
